,Tweets_temiz,sentiment
0,Bugün okuduğum bir yayında COVID 19 501Y.V2 varyantının Avrupa' da sahte negatiflik verdiğinin yaygın bir durum olduğu yazıyordu. Virüs mutasyonları yeni tanı kitlerine de ihtiyaç durumu oluşturabilir.. ,0
1," Tayvan'ın pandemi döneminde büyümesi, Türkiye açısından çok önemli veridir. Hatta Tayvan'ın yükseliş sırrı, Türkiye'nin koronavirüs dönenimde ekonomisini fırsata çevireceği çok önemli bilgileri içeriyor. Gazetesi aracılığıyla ",1
2,Karantin yuxu sistemimizi pozuduğuna gör karantin bitdikd n sonra x b rdarlıq v töhm t COVİD 19 a verilm lidir : ,2
3,Eğitim sistemini temelden sorgulatan görüntüler! Boğaziçi Üniversitesi'nde COVİD 19'a aldırış etmeden yeni rektörü protesto için maskesiz mesafesiz dans ettiler. Ellerinde lezbiyen gay hareketin bayraklarını da sallayan öğrenciler Bunlar mı ülkenin en zekileri ! dedirtti. ,1
4,Şuraya kalbimi bırakıyorum.. hepimizonurzorluyuz onurzorlu Karantina ,1
5,Allah'ım bu sene pandemi karantina yasak WhatsApp telegram kelimelerini daha az duymak istiyorum lütfen. Kusacağım. Kabul edelim bağımlıyız. WhatsAppSiliyoruz pandemi ,1
6,"Hayat eve sığar haritasında bulunduğum yeri,ılkkez yüksek riskli yer den sonra ortak riskli yer olarak değişmiş gördüm COVID19 bit artık korona ",0
7,Moodumuz budur karantina COVID koronavirus ,2
8,Kıyafetlerinizi 60 90 derecede normal deterjan ile yıkayın. corona covid19 evdekal Kaynak: ,2
9," Meksikalı doktor, COVID 19 aşısı aldıktan sonra hastaneye kaldırıldı. asıolmayacağım ",2
10, 35 yaşimdayım evdekal kampanyasına katıldım. ,2
11,19 COVID 19 otopsisinde farklı dokulardaki protein değişimlerine bakılan bir çalışma te yayımlandı. Çoklu organ yetmezliği ile ilişkili olabilecek birçok proteinin belli dokularda değiştiği gözlemlenmiş. Sperm azalması ve testiküler hücre kaybı en yaygınlarından. ,0
12, Armutlar..bilmediklerine yorum yaparlar.. ilk foto izmir 2.foto urla.. evdekal korona bitince gez biraz fikir edin ,2
13,Özdemir Erdoğan Aç Kapıyı Gir İçeri EvdeKal via ,2
14,ABD de son 9 gun icinde 24 bin insan COVID 19 dan oldu. ,0
15, İLERİ KİTAP Zilan Yıldırım yazdı: 'Düşünen hekimden' COVID 19 salgınının medikopolitiği ,1
16,Yanii HesKoduIptalEdilsin korkunuyen korkupandemisi korkuvirüsü DijitalFasizmeEngelOl salgın ,0
17,Oktay Abi'den naklen.. İnternette 2 seçenekli bir anket var. Soru: Hangisi 10 yıl daha sürsün şeklinde. Şıklar: a İktidar b Covid 19 Sonuç: %84 COVID 19 ,1
18,"Çin, koronavirüs testi olmayı reddedenleri ihbar eden kişilere ödül olarak 77 Dolar verecek. . . politizasyon SonDakika haberler çin türkiye aşı koronavirüsü karantina coronavirus pandemi sağlıkbakanlığı bakankoca sokağaçıkmayasağı ",1
19,"Yasak istemiyoruz, maske istemiyoruz, hes istemiyoruz, aşı istemiyoruz en çok dsö yü ülkemizde istemiyoruz! Heskoduıptaledilsin ",1
20,Karantina dönemini oldukça verimli geçiren komşularım evdekal ,1
21,"Aylardır beklediğim, dört gözle yolunu gözlediğim şey bugün oldu: sabah çalıştığım hastaneye giderek ilk doz COVID 19 aşımı oldum. Bunun mümkün olması için gece gündüz fedakarca çalışan tüm bilim insanlarına, araştırmacılara, doktor meslektaşlarıma minnettarım. ",1
22,Aha ben yatıyorum Hepücüğünüze İyi Gejeler Efem GeceyeNotum evdekal ,1
23, Ya gerçekten çok boş ve saçma tweetler atıyorsunuz sen ve senin gibiler nasıl bir zihniyette acaba. COVID 19 ol da görürsün hastaneye yat ventilatöre de bağlan sonra HES kodunun zorunluluğunu anlarsın. Teknoloji devrinde yaşıyoruz. Çağdaş olmak bunu gerektirir. Laik ülkeyiz ya. ,0
24,İyi ki de varlar Allah onları başımızdan eksik etmesin..AMİN Heskoduyaşatır heskodu evdekal ,1
25,"Koronavirüsten sonra nasıl bir dünya bizi bekliyor? Pandemi gölgesinde 2021 e girdik. Peki, aşılar başarılı olur ve COVID 19 kontrol altına alınırsa normale dönecek miyiz? İnsanlığın ortak kaderi bir anda değişecek mi? Teşekkürler ",1
26,Sosyal Yardım bekleyen insanlarımız zor durumda AKP CHP MHP belediyeleri. Türk insanına yaşattığınız her acının karşılığını vereceksiniz. Hiç şüpheniz olmasın. Türkiye belediye sosyalyardım pandemi COVID19 Kovid19 istanbul sma KirliKampanya TCP TC Turkiye ,0
27,Arkadaşlar gaza gelip saçma Tweetler atmayın Gerekmedikçe dışarıya çıkmayın Çıktıysanız maskenizi takın Kalabalık yerlerde sigara içmeyin evdekal ,1
28,CoronaVac aşısının tahlilleri devam ediyor aşı kontrol kullanım tİtck ,2
29,En son iki hafta diye tatile girdik 303 gündür evdeyiz korona karantina ,2
30,CanYaman roma da bir çekim sonrası otel çıkışı hayranlarının akınına uğrayıp sosyalmesafe kuralını ihlal ettiği için 400 euro yani 3.600 Lira para cezasına çarptırıldı ,0
31,Bu covid19 tedavisinde hastanelerin tedavi yöntemleri ne kadar doğru? hastanesinde tedavi olan bir akrabam evine gönderildikten sonra ciğerlerinizde hasar var denilerek çağırılıp uyutuldu. 21.45 gibi de hayatını kaybetti. Tedaviler tek tip mi sn ,0
32,COVID 19 aşısı enjekte edilen 100'den fazla Amerikalı acil servise götürüldü. Hastalardan 2 si ömür boyu sakat kalacak 17 sinin hayatı tehlikede. İstatistiklere göre korona aşısı diğer aşılardan 183 kat daha tehlikeli. Çünkü yeterince test edilmedi. Yani ilk kobay sizsiniz.. ,0
33,Gece yarısına kadar sokakta oyun oynamayı özlemişiz : teşekkürler covid19 ,1
34,WhatsAppSiliyoruz asıl pandemi facebook bunu ne aşı yok eder nede sürü bağışıklık tek bir çare vak ya facebok yok olucak yada insanlık.. ,1
35,SciGether News COVID 19 için hayat kurtaran başka bir tedavi scigether togetherforscience scigethernews science scientist future research technology biotech startup genetics biology medicine health innovation ,1
36,Hasta Miyazaki se inspiro del Covid19 ,2
37, Düşünen hekimden' COVID 19 salgınının medikopolitiği ,2
38,Seni benden aldılar hain geceler diye o camdan o cama koşuyorum bit artık sikicem karantina ,0
