 Alm, Mit
49,15
57,13
48,54
56,17
48,65
59,2
66,36
6,15
59,2
57,35
45,19
52,11
5,11
54,11
55,21
55,21
5,16
48,22
42,3
52,13
52,15
52,51
53,19
43,1
43,87
61,12
51,43
42,26
43,44
53,34
39,24
39,2
58,39
58,47
52,29
51,28
34,16
51,21
45,14
55,43
58,27
56,23
56,22
49,1
51,33
53,19
52,52
47,18
51,32
45,22
57,9
55,12
59,15
52,24
49,27
44,61
54,66
58,23
53,54
59,4
51,49
55,5
6,57
63,37
21,13
35,16
45,29
59,3
62,46
47,22
56,2
49,25
37,26
52,36
4,28
57,27
35,24
39,12
5,4
57,27
55,24
36,16
55,18
52,16
48,23
5,46
41,23
57,19
49,47
5,16
5,6
56,41
57,48
48,22
66,26
29,28
49,43
34,31
54,17
53,16
48,53
55,5
59,47
57,15
52,31
57,25
52,42
5,21
5,26
58,15
64,3
56,16
51,47
57,19
4,27
53,16
61,9
5,14
48,31
47,34
5,19
5,12
53,14
44,34
51,24
46,16
5,15
52,65
71,21
49,2
53,18
43,11
42,2
33,28
38,4
3,11
53,23
44,2
5,23
55,11
44,45
48,32
56,33
49,35
56,21
53,67
69,18
51,13
52,18
53,53
52,17
52,24
51,11
38,27
6,21
51,54
45,58
34,29
37,3
44,37
41,65
34,22
38,34
6,51
43,56
44,5
56,7
44,51
45,54
46,29
46,28
59,49
43,3
54,28
37,14
48,17
58,21
45,12
66,25
54,11
38,27
6,19
53,17
54,52
33,14
49,23
54,23
58,15
51,33
71,15
6,13
72,22
52,14
55,14
45,51
66,11
34,3
3,23
52,23
56,21
46,12
54,16
59,22
5,21
56,22
5,15
47,2
54,62
54,14
52,21
41,16
53,16
35,16
55,19
46,23
33,4
53,18
5,21
57,11
3,22
32,23
53,11
53,32
4,15
37,14
43,12
49,34
44,16
46,19
4,22
45,14
43,19
45,19
46,13
42,19
41,16
46,31
47,13
47,37
49,15
48,14
45,26
42,12
51,18
53,24
51,24
53,15
33,17
42,22
28,12
49,8
44,21
57,17
52,19
4,17
34,47
39,41
56,14
58,16
51,52
32,22
5,31
36,78
62,27
57,32
42,21
52,15
53,16
37,15
49,15
49,3
34,21
57,4
43,33
58,22
46,15
52,2
52,3
41,11
5,12
49,17
59,14
54,18
57,18
45,9
54,15
59,18
57,45
53,12
52,19
45,13
51,12
48,15
52,16
49,18
55,18
58,16
33,1
47,11
5,17
56,21
52,17
5,17
56,1
56,12
51,26
53,29
49,42
44,52
55,11
63,39
57,15
54,22
47,14
53,18
53,62
47,15
62,14
58,24
58,24
55,52
55,52
38,29
5,9
45,21
3,35
34,42
64,35
58,22
59,17
58,22
53,17
47,26
49,15
31,24
3,31
51,28
61,19
56,29
34,25
51,64
52,75
49,19
52,37
52,37
61,17
61,18
49,59
49,28
5,28
34,26
34,26
3,23
3,18
3,17
33,17
53,1
49,46
54,62
63,18
48,5
5,46
52,16
45,44
53,74
55,67
62,13
66,45
43,18
59,14
59,18
6,25
43,13
42,17
36,71
52,22
46,14
32,21
42,32
43,27
5,44
34,19
42,13
39,3
35,32
6,14
41,28
6,37
34,41
54,52
54,56
38,23
36,34
47,22
48,16
53,52
54,10
56,27
56,18
6,49
5,37
29,32
57,36
54,28
56,34
4,37
33,49
39,22
58,55
48,16
52,61
52,2
46,19
47,19
49,14
44,13
54,19
47,22
5,47
36,21
46,16
57,57
47,3
65,18
33,23
56,15
54,28
33,23
53,26
54,48
42,28
51,19
52,41
52,2
46,12
52,36
51,11
5,41
47,16
51,19
53,52
41,44
4,26
45,22
55,25
52,28
45,44
46,63
49,15
45,18
61,21
42,2
48,18
54,13
5,28
54,27
6,21
55,35
63,67
52,44
54,2
53,16
54,55
45,23
47,65
49,16
61,13
53,22
32,54
35,36
41,26
54,21
46,34
5,82
43,26
56,12
54,4
53,48
56,38
62,3
59,31
53,64
64,36
6,38
64,52
58,29
53,41
63,4
67,35
55,27
58,35
61,49
59,16
56,44
61,35
54,47
6,31
57,46
55,52
5,53
51,37
47,64
5,13
49,16
35,27
51,42
5,29
45,55
44,2
51,26
42,46
49,61
62,12
62,24
53,31
54,69
47,49
56,12
54,4
58,62
53,37
48,24
56,12
55,28
49,17
4,21
5,24
5,18
46,19
52,25
53,19
32,37
29,21
55,17
52,2
57,18
54,41
45,14
57,4
55,26
53,41
39,52
53,13
37,31
52,3
53,6
53,29
68,3
67,13
44,18
55,19
44,27
5,19
51,18
54,26
53,34
55,16
61,13
6,47
58,16
51,29
5,15
49,16
58,48
59,2
54,39
47,24
58,3
49,0
42,57
38,12
4,16
34,16
58,22
56,16
45,23
49,1
48,17
