 Alm, Mit, Pox
49,15,0
57,13,0
48,54,0
56,17,5
48,65,0
59,2,0
66,36,0
6,15,0
59,2,0
57,35,0
45,19,0
52,11,0
5,11,0
54,11,0
55,21,0
55,21,0
5,16,0
48,22,0
42,3,0
52,13,0
52,15,0
52,51,0
53,19,0
43,1,0
43,87,0
61,12,0
51,43,0
42,26,0
43,44,0
53,34,0
39,24,0
39,2,0
58,39,0
58,47,0
52,29,0
51,28,0
34,16,0
51,21,0
45,14,0
55,43,0
58,27,0
56,23,0
56,22,0
49,1,0
51,33,0
53,19,0
52,52,0
47,18,0
51,32,0
45,22,0
57,9,0
55,12,0
59,15,0
52,24,0
49,27,0
44,61,0
54,66,0
58,23,0
53,54,0
59,4,0
51,49,0
55,5,0
6,57,0
63,37,0
21,13,0
35,16,0
45,29,0
59,3,0
62,46,0
47,22,0
56,2,0
49,25,0
37,26,0
52,36,0
4,28,0
57,27,0
35,24,0
39,12,0
5,4,0
57,27,0
55,24,0
36,16,0
55,18,0
52,16,0
48,23,0
5,46,5
41,23,0
57,19,0
49,47,0
5,16,0
5,6,0
56,41,0
57,48,0
48,22,0
66,26,0
29,28,0
49,43,0
34,31,0
54,17,0
53,16,0
48,53,0
55,5,0
59,47,0
57,15,0
52,31,0
57,25,0
52,42,0
5,21,0
5,26,0
58,15,0
64,3,0
56,16,0
51,47,0
57,19,0
4,27,0
53,16,0
61,9,0
5,14,0
48,31,0
47,34,0
5,19,0
5,12,0
53,14,0
44,34,0
51,24,0
46,16,0
5,15,0
52,65,0
71,21,0
49,2,0
53,18,0
43,11,0
42,2,0
33,28,0
38,4,0
3,11,0
53,23,0
44,2,0
5,23,0
55,11,0
44,45,0
48,32,83
56,33,0
49,35,0
56,21,0
53,67,0
69,18,0
51,13,0
52,18,0
53,53,0
52,17,0
52,24,0
51,11,0
38,27,0
6,21,0
51,54,0
45,58,0
34,29,0
37,3,0
44,37,0
41,65,0
34,22,0
38,34,0
6,51,0
43,56,0
44,5,0
56,7,0
44,51,0
45,54,0
46,29,0
46,28,0
59,49,0
43,3,0
54,28,0
37,14,0
48,17,0
58,21,0
45,12,0
66,25,0
54,11,0
38,27,0
6,19,5
53,17,0
54,52,0
33,14,0
49,23,0
54,23,0
58,15,0
51,33,0
71,15,0
6,13,0
72,22,0
52,14,0
55,14,0
45,51,0
66,11,0
34,3,0
3,23,0
52,23,83
56,21,0
46,12,0
54,16,0
59,22,0
5,21,0
56,22,0
5,15,0
47,2,0
54,62,0
54,14,0
52,21,0
41,16,0
53,16,0
35,16,0
55,19,0
46,23,0
33,4,0
53,18,0
5,21,0
57,11,0
3,22,0
32,23,0
53,11,0
53,32,0
4,15,0
37,14,0
43,12,0
49,34,0
44,16,0
46,19,0
4,22,0
45,14,0
43,19,0
45,19,0
46,13,0
42,19,0
41,16,0
46,31,0
47,13,0
47,37,0
49,15,0
48,14,0
45,26,0
42,12,0
51,18,0
53,24,0
51,24,0
53,15,0
33,17,0
42,22,0
28,12,0
49,8,0
44,21,0
57,17,0
52,19,0
4,17,0
34,47,0
39,41,0
56,14,0
58,16,0
51,52,0
32,22,0
5,31,0
36,78,0
62,27,0
57,32,0
42,21,0
52,15,0
53,16,0
37,15,0
49,15,0
49,3,0
