 Alm, Mit, Pox,Mcg
49,15,0,64
57,13,0,58
48,54,0,42
56,17,5,51
48,65,0,5
59,2,0,48
66,36,0,55
6,15,0,4
59,2,0,42
57,35,0,4
45,19,0,66
52,11,0,46
5,11,0,47
54,11,0,58
55,21,0,5
55,21,0,61
5,16,0,45
48,22,0,43
42,3,0,73
52,13,0,43
52,15,0,46
52,51,0,51
53,19,0,59
43,1,0,53
43,87,0,51
61,12,0,38
51,43,0,33
42,26,0,78
43,44,0,59
53,34,0,57
39,24,0,86
39,2,0,41
58,39,0,53
58,47,0,74
52,29,0,49
51,28,0,74
34,16,0,42
51,21,0,48
45,14,0,41
55,43,0,45
58,27,0,56
56,23,0,64
56,22,0,64
49,1,0,66
51,33,0,53
53,19,0,38
52,52,0,43
47,18,0,37
51,32,0,48
45,22,0,6
57,9,0,34
55,12,0,48
59,15,0,47
52,24,0,48
49,27,0,58
44,61,0,6
54,66,0,45
58,23,0,46
53,54,0,5
59,4,0,63
51,49,0,43
55,5,0,48
6,57,0,51
63,37,0,54
21,13,0,28
35,16,0,39
45,29,0,8
59,3,0,5
62,46,0,36
47,22,0,46
56,2,0,4
49,25,0,49
37,26,0,38
52,36,0,69
4,28,0,78
57,27,0,64
35,24,0,36
39,12,0,36
5,4,0,47
57,27,0,48
55,24,0,47
36,16,0,44
55,18,0,3
52,16,0,65
48,23,0,27
5,46,5,45
41,23,0,44
57,19,0,3
49,47,0,4
5,16,0,45
5,6,0,45
56,41,0,59
57,48,0,47
48,22,0,35
66,26,0,47
29,28,0,64
49,43,0,59
34,31,0,54
54,17,0,58
53,16,0,4
48,53,0,46
55,5,0,53
59,47,0,41
57,15,0,5
52,31,0,4
57,25,0,6
52,42,0,62
5,21,0,34
5,26,0,39
58,15,0,29
64,3,0,47
56,16,0,39
51,47,0,58
57,19,0,64
4,27,0,37
53,16,0,43
61,9,0,28
5,14,0,59
48,31,0,39
47,34,0,26
5,19,0,51
5,12,0,58
53,14,0,44
44,34,0,41
51,24,0,45
46,16,0,36
5,15,0,42
52,65,0,67
71,21,0,4
49,2,0,54
53,18,0,57
43,11,0,35
42,2,0,42
33,28,0,26
38,4,0,39
3,11,0,26
53,23,0,31
44,2,0,48
5,23,0,66
55,11,0,21
44,45,0,38
48,32,83,44
56,33,0,31
49,35,0,49
56,21,0,38
53,67,0,39
69,18,0,24
51,13,0,49
52,18,0,54
53,53,0,43
52,17,0,31
52,24,0,32
51,11,0,37
38,27,0,75
6,21,0,44
51,54,0,52
45,58,0,63
34,29,0,72
37,3,0,72
44,37,0,57
41,65,0,42
34,22,0,59
38,34,0,52
6,51,0,5
43,56,0,49
44,5,0,5
56,7,0,5
44,51,0,37
45,54,0,55
46,29,0,67
46,28,0,53
59,49,0,47
43,3,0,73
54,28,0,7
37,14,0,47
48,17,0,56
58,21,0,56
45,12,0,58
66,25,0,53
54,11,0,34
38,27,0,69
6,19,5,37
53,17,0,41
54,52,0,31
33,14,0,36
49,23,0,82
54,23,0,82
58,15,0,41
51,33,0,53
71,15,0,46
6,13,0,53
72,22,0,42
52,14,0,2
55,14,0,51
45,51,0,44
66,11,0,27
34,3,0,55
3,23,0,34
52,23,83,44
56,21,0,59
46,12,0,39
54,16,0,56
59,22,0,35
5,21,0,42
56,22,0,55
5,15,0,8
47,2,0,6
54,62,0,47
54,14,0,43
52,21,0,53
41,16,0,54
53,16,0,46
35,16,0,51
55,19,0,56
46,23,0,37
33,4,0,83
53,18,0,39
5,21,0,52
57,11,0,35
3,22,0,36
32,23,0,78
53,11,0,55
53,32,0,45
4,15,0,29
37,14,0,52
43,12,0,58
49,34,0,54
44,16,0,57
46,19,0,59
4,22,0,92
45,14,0,55
43,19,0,36
45,19,0,34
46,13,0,62
42,19,0,53
41,16,0,73
46,31,0,55
47,13,0,35
47,37,0,77
49,15,0,35
48,14,0,43
45,26,0,57
42,12,0,63
51,18,0,25
53,24,0,56
51,24,0,58
53,15,0,71
33,17,0,46
42,22,0,54
28,12,0,39
