 Alm, Mit, Pox,Mcg, Vac
49,15,0,64,53
57,13,0,58,54
48,54,0,42,48
56,17,5,51,49
48,65,0,5,53
59,2,0,48,58
66,36,0,55,49
6,15,0,4,58
59,2,0,42,52
57,35,0,4,53
45,19,0,66,46
52,11,0,46,5
5,11,0,47,49
54,11,0,58,51
55,21,0,5,49
55,21,0,61,5
5,16,0,45,5
48,22,0,43,51
42,3,0,73,49
52,13,0,43,55
52,15,0,46,58
52,51,0,51,54
53,19,0,59,59
43,1,0,53,57
43,87,0,51,52
61,12,0,38,53
51,43,0,33,51
42,26,0,78,43
43,44,0,59,5
53,34,0,57,53
39,24,0,86,54
39,2,0,41,51
58,39,0,53,47
58,47,0,74,4
52,29,0,49,48
51,28,0,74,58
34,16,0,42,5
51,21,0,48,52
45,14,0,41,52
55,43,0,45,55
58,27,0,56,51
56,23,0,64,46
56,22,0,64,45
49,1,0,66,49
51,33,0,53,55
53,19,0,38,5
52,52,0,43,54
47,18,0,37,45
51,32,0,48,52
45,22,0,6,51
57,9,0,34,55
55,12,0,48,51
59,15,0,47,57
52,24,0,48,56
49,27,0,58,57
44,61,0,6,47
54,66,0,45,47
58,23,0,46,44
53,54,0,5,51
59,4,0,63,38
51,49,0,43,48
55,5,0,48,53
6,57,0,51,58
63,37,0,54,46
21,13,0,28,51
35,16,0,39,55
45,29,0,8,51
59,3,0,5,51
62,46,0,36,51
47,22,0,46,52
56,2,0,4,45
49,25,0,49,5
37,26,0,38,43
52,36,0,69,46
4,28,0,78,53
57,27,0,64,37
35,24,0,36,44
39,12,0,36,49
5,4,0,47,41
57,27,0,48,48
55,24,0,47,47
36,16,0,44,52
55,18,0,3,5
52,16,0,65,6
48,23,0,27,55
5,46,5,45,5
41,23,0,44,51
57,19,0,3,48
49,47,0,4,49
5,16,0,45,52
5,6,0,45,49
56,41,0,59,47
57,48,0,47,48
48,22,0,35,26
66,26,0,47,53
29,28,0,64,51
49,43,0,59,53
34,31,0,54,54
54,17,0,58,48
53,16,0,4,52
48,53,0,46,53
55,5,0,53,45
59,47,0,41,48
57,15,0,5,47
52,31,0,4,49
57,25,0,6,41
52,42,0,62,54
5,21,0,34,54
5,26,0,39,54
58,15,0,29,5
64,3,0,47,63
56,16,0,39,47
51,47,0,58,55
57,19,0,64,43
4,27,0,37,45
53,16,0,43,54
61,9,0,28,52
5,14,0,59,45
48,31,0,39,54
47,34,0,26,53
5,19,0,51,5
5,12,0,58,48
53,14,0,44,54
44,34,0,41,48
51,24,0,45,54
46,16,0,36,53
5,15,0,42,53
52,65,0,67,53
71,21,0,4,54
49,2,0,54,52
53,18,0,57,56
43,11,0,35,56
42,2,0,42,49
33,28,0,26,51
38,4,0,39,49
3,11,0,26,51
53,23,0,31,51
44,2,0,48,47
5,23,0,66,49
55,11,0,21,5
44,45,0,38,53
48,32,83,44,53
56,33,0,31,52
49,35,0,49,51
56,21,0,38,49
53,67,0,39,47
69,18,0,24,52
51,13,0,49,47
52,18,0,54,48
53,53,0,43,53
52,17,0,31,52
52,24,0,32,6
51,11,0,37,57
38,27,0,75,49
6,21,0,44,57
51,54,0,52,55
45,58,0,63,51
34,29,0,72,56
37,3,0,72,57
44,37,0,57,52
41,65,0,42,46
34,22,0,59,51
38,34,0,52,51
6,51,0,5,48
43,56,0,49,36
44,5,0,5,42
56,7,0,5,5
44,51,0,37,44
45,54,0,55,5
46,29,0,67,46
46,28,0,53,48
59,49,0,47,56
43,3,0,73,55
54,28,0,7,6
37,14,0,47,5
48,17,0,56,46
58,21,0,56,42
45,12,0,58,51
66,25,0,53,43
54,11,0,34,36
38,27,0,69,52
6,19,5,37,42
53,17,0,41,51
54,52,0,31,5
33,14,0,36,57
49,23,0,82,46
54,23,0,82,46
58,15,0,41,45
51,33,0,53,52
71,15,0,46,59
6,13,0,53,49
72,22,0,42,57
52,14,0,2,53
55,14,0,51,51
45,51,0,44,52
66,11,0,27,44
34,3,0,55,52
3,23,0,34,53
52,23,83,44,51
56,21,0,59,54
46,12,0,39,41
54,16,0,56,5
59,22,0,35,47
5,21,0,42,51
56,22,0,55,5
5,15,0,8,53
47,2,0,6,5
54,62,0,47,53
54,14,0,43,47
52,21,0,53,55
41,16,0,54,52
53,16,0,46,51
35,16,0,51,51
55,19,0,56,54
46,23,0,37,47
33,4,0,83,53
53,18,0,39,54
5,21,0,52,48
57,11,0,35,48
3,22,0,36,52
32,23,0,78,53
53,11,0,55,52
53,32,0,45,57
4,15,0,29,53
37,14,0,52,46
43,12,0,58,55
49,34,0,54,52
44,16,0,57,52
46,19,0,59,56
4,22,0,92,54
45,14,0,55,54
43,19,0,36,48
45,19,0,34,51
46,13,0,62,53
42,19,0,53,53
41,16,0,73,46
46,31,0,55,58
47,13,0,35,52
47,37,0,77,48
49,15,0,35,55
48,14,0,43,5
45,26,0,57,5
42,12,0,63,52
51,18,0,25,5
53,24,0,56,57
51,24,0,58,53
53,15,0,71,49
33,17,0,46,55
42,22,0,54,48
28,12,0,39,46
49,8,0,33,48
44,21,0,46,55
57,17,0,35,52
52,19,0,54,59
4,17,0,42,5
34,47,0,91,52
39,41,0,81,53
56,14,0,45,54
58,16,0,47,49
51,52,0,41,49
32,22,0,37,56
5,31,0,69,55
36,78,0,84,49
62,27,0,37,48
57,32,0,55,57
42,21,0,48,57
52,15,0,62,52
53,16,0,56,24
37,15,0,44,51
49,15,0,44,46
49,3,0,6,53
34,21,0,49,55
57,4,0,35,53
43,33,0,7,58
58,22,0,23,48
46,15,0,51,51
52,2,0,32,52
52,3,0,59,46
41,11,0,41,54
5,12,0,37,51
49,17,0,45,52
59,14,0,56,52
54,18,0,31,52
57,18,0,54,45
45,9,0,17,54
54,15,0,43,45
59,18,0,6,48
57,45,0,91,56
53,12,0,38,48
52,19,0,59,55
45,13,0,64,53
51,12,0,52,51
48,15,0,49,55
52,16,0,49,53
49,18,0,48,51
55,18,0,44,52
58,16,0,43,5
33,1,0,2,48
47,11,0,3,46
5,17,0,31,49
56,21,0,55,52
52,17,0,4,47
5,17,0,4,54
56,1,0,58,46
56,12,0,58,46
51,26,0,58,51
53,29,0,41,47
49,42,0,69,49
44,52,0,6,54
55,11,0,28,46
63,39,0,56,59
57,15,0,46,52
54,22,0,43,57
47,14,0,48,47
53,18,0,35,42
53,62,0,47,46
47,15,0,53,58
62,14,0,44,55
58,24,0,37,44
58,24,0,37,44
55,52,0,39,37
55,52,0,39,37
38,29,0,48,53
5,9,0,48,52
45,21,0,61,5
3,35,0,51,53
34,42,0,53,54
64,35,0,37,47
58,22,0,51,5
59,17,0,49,51
58,22,0,51,5
53,17,0,53,49
47,26,0,29,47
49,15,0,5,55
31,24,0,33,53
3,31,0,85,55
51,28,0,43,4
61,19,0,34,52
56,29,0,55,48
34,25,0,37,51
51,64,0,45,54
52,75,0,38,5
49,19,0,61,54
52,37,0,44,5
52,37,0,44,5
61,17,0,32,52
61,18,0,34,52
49,59,0,51,54
49,28,0,41,54
5,28,0,41,5
34,26,0,3,51
34,26,0,49,5
3,23,0,34,51
3,18,0,43,51
3,17,0,45,51
33,17,0,42,54
53,1,0,52,48
49,46,0,53,52
54,62,0,45,53
63,18,0,51,52
48,5,0,51,51
5,46,0,55,52
52,16,0,5,52
45,44,0,5,49
53,74,0,45,47
55,67,0,57,48
62,13,0,54,52
66,45,0,47,37
43,18,0,51,48
59,14,0,56,51
59,18,0,45,44
6,25,0,43,55
43,13,0,47,56
42,17,0,4,54
36,71,0,89,55
52,22,0,58,44
46,14,0,59,52
32,21,0,49,5
42,32,0,5,56
43,27,0,68,61
5,44,0,46,53
34,19,0,32,55
42,13,0,4,45
39,3,0,65,57
35,32,0,47,54
6,14,0,42,45
41,28,0,23,5
6,37,0,34,5
34,41,0,67,6
54,52,0,54,47
54,56,0,53,49
38,23,0,84,53
36,34,0,89,44
47,22,0,36,44
48,16,0,57,51
53,52,0,43,49
54,10,0,38,5
56,27,0,43,47
56,18,0,27,52
6,49,0,89,55
5,37,0,86,53
29,32,0,37,51
57,36,0,87,36
54,28,0,52,54
56,34,0,76,51
4,37,0,58,54
33,49,0,94,54
39,22,0,42,49
58,55,0,52,48
48,16,0,42,55
52,61,0,48,51
52,2,0,83,48
46,19,0,36,52
47,19,0,51,52
49,14,0,54,56
44,13,0,44,49
54,19,0,52,5
47,22,0,53,53
5,47,0,48,55
36,21,0,46,5
46,16,0,46,51
57,57,0,52,51
47,3,0,78,53
65,18,0,49,46
33,23,0,39,53
56,15,0,39,5
54,28,0,33,53
33,23,0,39,52
53,26,0,33,52
54,48,0,47,53
42,28,0,72,48
51,19,0,41,57
52,41,0,81,57
52,2,0,5,43
46,12,0,18,0
52,36,0,26,48
51,11,0,53,49
5,41,0,58,57
47,16,0,62,53
51,19,83,68,54
53,52,0,4,51
41,44,0,51,5
4,26,0,72,51
45,22,0,49,51
55,25,0,32,49
52,28,0,46,52
45,44,0,53,49
