 Alm, Mit, Pox,Mcg, Vac, Gvh, Nuc, Erl
49,15,0,64,53,62,22,5
57,13,0,58,54,44,22,5
48,54,0,42,48,44,22,5
56,17,5,51,49,4,22,5
48,65,0,5,53,54,22,5
59,2,0,48,58,45,34,5
66,36,0,55,49,5,22,5
6,15,0,4,58,39,3,5
59,2,0,42,52,37,29,5
57,35,0,4,53,42,25,5
45,19,0,66,46,55,22,5
52,11,0,46,5,44,22,5
5,11,0,47,49,39,4,5
54,11,0,58,51,47,26,5
55,21,0,5,49,34,22,5
55,21,0,61,5,6,25,5
5,16,0,45,5,4,22,5
48,22,0,43,51,44,22,5
42,3,0,73,49,63,22,5
52,13,0,43,55,53,22,5
52,15,0,46,58,53,22,5
52,51,0,51,54,51,22,5
53,19,0,59,59,45,27,5
43,1,0,53,57,54,32,5
43,87,0,51,52,51,22,5
61,12,0,38,53,61,47,5
51,43,0,33,51,55,22,5
42,26,0,78,43,74,22,5
43,44,0,59,5,53,22,5
53,34,0,57,53,53,22,5
39,24,0,86,54,68,22,5
39,2,0,41,51,54,22,5
58,39,0,53,47,31,37,5
58,47,0,74,4,75,35,5
52,29,0,49,48,39,22,5
51,28,0,74,58,57,22,5
34,16,0,42,5,24,22,5
51,21,0,48,52,39,28,5
45,14,0,41,52,53,66,5
55,43,0,45,55,46,38,5
58,27,0,56,51,48,22,5
56,23,0,64,46,59,22,5
56,22,0,64,45,56,22,5
49,1,0,66,49,62,22,5
51,33,0,53,55,44,22,5
53,19,0,38,5,49,22,5
52,52,0,43,54,35,22,5
47,18,0,37,45,32,25,5
51,32,0,48,52,43,43,5
45,22,0,6,51,47,29,5
57,9,0,34,55,46,22,5
55,12,0,48,51,54,22,5
59,15,0,47,57,39,22,5
52,24,0,48,56,42,22,5
49,27,0,58,57,51,29,5
44,61,0,6,47,5,22,5
54,66,0,45,47,55,22,5
58,23,0,46,44,49,22,5
53,54,0,5,51,54,27,5
59,4,0,63,38,57,22,5
51,49,0,43,48,57,22,5
55,5,0,48,53,45,22,5
6,57,0,51,58,54,22,5
63,37,0,54,46,52,22,5
21,13,0,28,51,58,22,5
35,16,0,39,55,44,22,5
45,29,0,8,51,63,22,5
59,3,0,5,51,52,35,5
62,46,0,36,51,46,33,5
47,22,0,46,52,38,27,5
56,2,0,4,45,45,22,5
49,25,0,49,5,61,28,5
37,26,0,38,43,5,22,5
52,36,0,69,46,7,22,5
4,28,0,78,53,75,22,5
57,27,0,64,37,57,22,5
35,24,0,36,44,58,22,5
39,12,0,36,49,43,22,5
5,4,0,47,41,52,22,5
57,27,0,48,48,23,47,5
55,24,0,47,47,39,22,5
36,16,0,44,52,59,22,5
55,18,0,3,5,56,22,5
52,16,0,65,6,65,22,5
48,23,0,27,55,6,22,5
5,46,5,45,5,41,27,5
41,23,0,44,51,52,22,5
57,19,0,3,48,32,55,5
49,47,0,4,49,44,27,5
5,16,0,45,52,51,10,5
5,6,0,45,49,45,22,5
56,41,0,59,47,67,22,5
57,48,0,47,48,47,22,5
48,22,0,35,26,52,22,5
66,26,0,47,53,41,22,5
29,28,0,64,51,62,22,5
49,43,0,59,53,6,31,5
34,31,0,54,54,55,22,5
54,17,0,58,48,62,22,5
