,Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc, Class
1,58,44,57,13,5,0,54,22,0
5,48,45,59,2,5,0,58,34,0
8,42,37,59,2,5,0,52,29,0
13,58,47,54,11,5,0,51,26,0
17,43,44,48,22,5,0,51,22,0
19,43,53,52,13,5,0,55,22,0
20,46,53,52,15,5,0,58,22,0
22,59,45,53,19,5,0,59,27,0
23,53,54,43,1,5,0,57,32,0
25,38,61,61,12,5,0,53,47,0
29,57,53,53,34,5,0,53,22,0
32,53,31,58,39,5,0,47,37,0
34,49,39,52,29,5,0,48,22,0
37,48,39,51,21,5,0,52,28,0
40,56,48,58,27,5,0,51,22,0
41,64,59,56,23,5,0,46,22,0
42,64,56,56,22,5,0,45,22,0
44,53,44,51,33,5,0,55,22,0
47,37,32,47,18,5,0,45,25,0
48,48,43,51,32,5,0,52,43,0
50,34,46,57,9,5,0,55,22,0
51,48,54,55,12,5,0,51,22,0
52,47,39,59,15,5,0,57,22,0
53,48,42,52,24,5,0,56,22,0
54,58,51,49,27,5,0,57,29,0
57,46,49,58,23,5,0,44,22,0
59,63,57,59,4,5,0,38,22,0
61,48,45,55,5,5,0,53,22,0
63,54,52,63,37,5,0,46,22,0
69,46,38,47,22,5,0,52,27,0
75,64,57,57,27,5,0,37,22,0
79,48,23,57,27,5,0,48,47,0
80,47,39,55,24,5,0,47,22,0
86,44,52,41,23,5,0,51,22,0
91,59,67,56,41,5,0,47,22,0
93,35,52,48,22,5,0,26,22,0
94,47,41,66,26,5,0,53,22,0
101,53,51,55,5,5,0,45,25,0
110,47,32,64,3,5,0,63,22,0
111,39,47,56,16,5,0,47,22,0
115,43,57,53,16,5,0,54,22,0
116,28,37,61,9,5,0,52,55,0
118,39,55,48,31,5,0,54,29,0
119,26,36,47,34,5,0,53,72,0
122,44,39,53,14,5,0,54,44,0
123,41,39,44,34,5,0,48,4,0
124,45,43,51,24,5,0,54,33,0
125,36,68,46,16,5,0,53,28,0
129,54,49,49,2,5,0,52,22,0
130,57,51,53,18,5,0,56,25,0
136,31,44,53,23,5,0,51,32,0
137,48,61,44,2,5,0,47,22,0
141,44,38,48,32,5,83,53,22,0
